72000	BeluratAndEnirIlim	Theatre of the Divine Beast
72001	BeluratAndEnirIlim	Belurat, Tower Settlement
72002	BeluratAndEnirIlim	Small Private Altar
72003	BeluratAndEnirIlim	Stagefront
72010	BeluratAndEnirIlim	Gate of Divinity
72012	BeluratAndEnirIlim	Enir-Ilim: Outer Wall
72013	BeluratAndEnirIlim	First Rise
72014	BeluratAndEnirIlim	Spiral Rise
72015	BeluratAndEnirIlim	Cleansing Chamber Anteroom
72016	BeluratAndEnirIlim	Divine Gate Front Staircase
72101	ShadowKeep	Main Gate Plaza
72102	ShadowKeep	Shadow Keep Main Gate
72106	ShadowKeep	Church District Entrance
72107	ShadowKeep	Sunken Chapel
72108	ShadowKeep	Tree-Worship Passage
72109	ShadowKeep	Tree-Worship Sanctum
72110	ShadowKeep	Messmer's Dark Chamber
72111	ShadowKeep	Storehouse, First Floor
72112	ShadowKeep	Storehouse, Fourth Floor
72113	ShadowKeep	Storehouse, Seventh Floor
72114	ShadowKeep	Dark Chamber Entrance
72116	ShadowKeep	Storehouse, Back Section
72117	ShadowKeep	Storehouse, Loft
72120	ShadowKeep	West Rampart
72200	StoneCoffinFissure	Garden of Deep Purple
72201	StoneCoffinFissure	Stone Coffin Fissure
72202	StoneCoffinFissure	Fissure Cross
72203	StoneCoffinFissure	Fissure Waypoint
72204	StoneCoffinFissure	Fissure Depths
72500	FingerBirthingGrounds	Finger Birthing Grounds
72800	MidrasManse	Discussion Chamber
72801	MidrasManse	Manse Hall
72802	MidrasManse	Midra's Library
72803	MidrasManse	Second Floor Chamber
74000	ShadowCatacombs	Fog Rift Catacombs
74001	ShadowCatacombs	Scorpion River Catacombs
74002	ShadowCatacombs	Darklight Catacombs
74100	ShadowGaols	Belurat Gaol
74101	ShadowGaols	Bonny Gaol
74102	ShadowGaols	Lamenter's Gaol
74200	ShadowRuinedForges	Ruined Forge Lava Intake
74202	ShadowRuinedForges	Ruined Forge of Starfall Past
74203	ShadowRuinedForges	Taylew's Ruined Forge
74300	ShadowCaves	Rivermouth Cave
74301	ShadowCaves	Dragon's Pit
74351	ShadowCaves	Dragon's Pit Terminus
76800	RealmOfShadow	Gravesite Plain
76801	RealmOfShadow	Scorched Ruins
76802	RealmOfShadow	Three-Path Cross
76803	RealmOfShadow	Main Gate Cross
76804	RealmOfShadow	Cliffroad Terminus
76805	RealmOfShadow	Greatbridge, North
76810	RealmOfShadow	Pillar Path Cross
76811	RealmOfShadow	Pillar Path Waypoint
76812	RealmOfShadow	Ellac River Cave
76813	RealmOfShadow	Castle Front
76821	RealmOfShadow	Castle Ensis Checkpoint
76822	RealmOfShadow	Castle-Lord's Chamber
76823	RealmOfShadow	Ensis Moongazing Grounds
76830	RealmOfShadow	Ellac River Downstream
76831	RealmOfShadow	Cerulean Coast
76832	RealmOfShadow	Cerulean Coast West
76833	RealmOfShadow	The Fissure
76834	RealmOfShadow	Finger Ruins of Rhia
76835	RealmOfShadow	Cerulean Coast Cross
76840	RealmOfShadow	Grand Altar of Dragon Communion
76841	RealmOfShadow	Charo's Hidden Grave
76850	RealmOfShadow	Foot of the Jagged Peak
76851	RealmOfShadow	Jagged Peak Mountainside
76852	RealmOfShadow	Jagged Peak Summit
76853	RealmOfShadow	Rest of the Dread Dragon
76860	RealmOfShadow	Abyssal Woods
76861	RealmOfShadow	Divided Falls
76862	RealmOfShadow	Forsaken Graveyard
76863	RealmOfShadow	Woodland Trail
76864	RealmOfShadow	Church Ruins
76900	RealmOfShadow	Highroad Cross
76902	RealmOfShadow	Moorth Ruins
76903	RealmOfShadow	Bonny Village
76904	RealmOfShadow	Bridge Leading to the Village
76905	RealmOfShadow	Church District Highroad
76906	RealmOfShadow	Cathedral of Manus Metyr
76907	RealmOfShadow	Scadu Altus, West
76908	RealmOfShadow	Moorth Highway, South
76909	RealmOfShadow	Fort of Reprimand
76910	RealmOfShadow	Behind the Fort of Reprimand
76911	RealmOfShadow	Scaduview Cross
76912	RealmOfShadow	Ancient Ruins Base
76913	RealmOfShadow	Temple Town Ruins
76914	RealmOfShadow	Ravine North
76916	RealmOfShadow	Castle Watering Hole
76917	RealmOfShadow	Recluses' River Upstream
76918	RealmOfShadow	Recluses' River Downstream
76930	RealmOfShadow	Scaduview
76931	RealmOfShadow	Shadow Keep, Back Gate
76935	RealmOfShadow	Hinterland
76936	RealmOfShadow	Fingerstone Hill
76937	RealmOfShadow	Hinterland Bridge
76940	RealmOfShadow	Viaduct Minor Tower
76941	RealmOfShadow	Rauh Ancient Ruins, East
76942	RealmOfShadow	Rauh Ancient Ruins, West
76943	RealmOfShadow	Church of the Bud, Main Entrance
76944	RealmOfShadow	Ancient Ruins, Grand Stairway
76945	RealmOfShadow	Church of the Bud
76960	RealmOfShadow	Scadutree Base
